timestamp,1. open,2. high,3. low,4. close,5. volume,average_price
2024-08-06 14:05:00,188.315,188.35,188.05,188.2,33939,188.22875
2024-08-06 14:00:00,188.495,188.51,188.28,188.34,51661,188.40625
2024-08-06 13:55:00,188.42,188.52,188.24,188.495,81063,188.41875000000002
2024-08-06 13:50:00,188.26,188.42,188.24,188.41,24671,188.33249999999998
2024-08-06 13:45:00,188.15,188.255,188.015,188.24,24174,188.165
2024-08-06 13:40:00,188.1,188.19,187.99,188.16,20632,188.10999999999999
2024-08-06 13:35:00,188.04,188.15,187.955,188.085,20952,188.0575
2024-08-06 13:30:00,187.82,188.08,187.82,188.04,24004,187.94
2024-08-06 13:25:00,187.66,187.86,187.65,187.8,28330,187.7425
2024-08-06 13:20:00,187.45,187.71,187.44,187.605,15821,187.55124999999998
2024-08-06 13:15:00,187.48,187.62,187.38,187.38,23756,187.465
2024-08-06 13:10:00,187.44,187.53,187.37,187.44,20929,187.445
2024-08-06 13:05:00,187.15,187.46,187.07,187.458,33408,187.2845
2024-08-06 13:00:00,187.3,187.3,187.13,187.14,32565,187.2175
2024-08-06 12:55:00,187.38,187.47,187.27,187.27,18426,187.3475
2024-08-06 12:50:00,186.88,187.44,186.88,187.38,21950,187.145
2024-08-06 12:45:00,186.81,187.05,186.795,186.885,20280,186.885
2024-08-06 12:40:00,186.87,186.91,186.8,186.8,16939,186.84499999999997
2024-08-06 12:35:00,186.55,186.88,186.53,186.86,37575,186.705
2024-08-06 12:30:00,186.6,186.681,186.58,186.58,11610,186.61025
2024-08-06 12:25:00,186.77,186.77,186.545,186.61,16830,186.67375
2024-08-06 12:20:00,187.16,187.16,186.74,186.79,14649,186.96249999999998
2024-08-06 12:15:00,186.87,187.23,186.87,187.145,27731,187.02875
2024-08-06 12:10:00,186.65,186.91,186.5,186.88,33307,186.73499999999999
2024-08-06 12:05:00,186.65,186.8,186.55,186.6,22808,186.65
2024-08-06 12:00:00,186.73,186.79,186.58,186.755,19268,186.71375
2024-08-06 11:55:00,186.37,186.76,186.37,186.66,20845,186.54
2024-08-06 11:50:00,186.44,186.64,186.335,186.45,16906,186.46625
2024-08-06 11:45:00,186.27,186.41,186.03,186.41,19837,186.28
2024-08-06 11:40:00,186.25,186.42,186.08,186.27,16823,186.255
2024-08-06 11:35:00,185.99,186.33,185.88,186.19,20137,186.09750000000003
2024-08-06 11:30:00,185.655,186.1,185.59,185.93,43330,185.81875000000002
2024-08-06 11:25:00,185.97,186.22,185.62,185.69,21871,185.875
2024-08-06 11:20:00,186.271,186.271,185.93,185.97,24611,186.1105
2024-08-06 11:15:00,186.42,186.45,186.19,186.24,20572,186.325
2024-08-06 11:10:00,186.57,186.62,186.25,186.44,28804,186.47000000000003
2024-08-06 11:05:00,186.685,186.79,186.5,186.599,25152,186.64350000000002
2024-08-06 11:00:00,186.61,186.72,186.37,186.58,22348,186.57000000000002
2024-08-06 10:55:00,186.7,186.76,186.413,186.45,33477,186.58075000000002
2024-08-06 10:50:00,186.855,186.92,186.68,186.74,19165,186.79874999999998
2024-08-06 10:45:00,186.43,186.95,186.411,186.855,39107,186.6615
2024-08-06 10:40:00,186.365,186.59,186.365,186.41,26287,186.4325
2024-08-06 10:35:00,186.12,186.68,185.96,186.35,28624,186.2775
2024-08-06 10:30:00,185.96,186.09,185.63,186.09,21101,185.94250000000002
